title,author,school,sentence_spacy,sentence_str,original_publication_date,corpus_edition_date,sentence_length,sentence_lowered,tokenized_txt,lemmatized_str
Capital,Marx,communism,"This productiveness is determined by various circumstances, amongst others, by the average amount of skill of the workmen, the state of science, and the degree of its practical application, the social organisation of production, the extent and capabilities of the means of production, and by physical conditions.","This productiveness is determined by various circumstances, amongst others, by the average amount of skill of the workmen, the state of science, and the degree of its practical application, the social organisation of production, the extent and capabilities of the means of production, and by physical conditions.",1883,1887,312,"this productiveness is determined by various circumstances, amongst others, by the average amount of skill of the workmen, the state of science, and the degree of its practical application, the social organisation of production, the extent and capabilities of the means of production, and by physical conditions.","['this', 'productiveness', 'is', 'determined', 'by', 'various', 'circumstances', 'amongst', 'others', 'by', 'the', 'average', 'amount', 'of', 'skill', 'of', 'the', 'workmen', 'the', 'state', 'of', 'science', 'and', 'the', 'degree', 'of', 'its', 'practical', 'application', 'the', 'social', 'organisation', 'of', 'production', 'the', 'extent', 'and', 'capabilities', 'of', 'the', 'means', 'of', 'production', 'and', 'by', 'physical', 'conditions']"," this productiveness be determine by various circumstance , amongst other , by the average amount of skill of the workman , the state of science , and the degree of -PRON- practical application , the social organisation of production , the extent and capability of the mean of production , and by physical condition ."
Capital,Marx,communism,"The recent scientific discovery, that the products of labour, so far as they are values, are but material expressions of the human labour spent in their production, marks, indeed, an epoch in the history of the development of the human race, but, by no means, dissipates the mist through which the social character of labour appears to us to be an objective character of the products themselves.","The recent scientific discovery, that the products of labour, so far as they are values, are but material expressions of the human labour spent in their production, marks, indeed, an epoch in the history of the development of the human race, but, by no means, dissipates the mist through which the social character of labour appears to us to be an objective character of the products themselves.",1883,1887,395,"the recent scientific discovery, that the products of labour, so far as they are values, are but material expressions of the human labour spent in their production, marks, indeed, an epoch in the history of the development of the human race, but, by no means, dissipates the mist through which the social character of labour appears to us to be an objective character of the products themselves.","['the', 'recent', 'scientific', 'discovery', 'that', 'the', 'products', 'of', 'labour', 'so', 'far', 'as', 'they', 'are', 'values', 'are', 'but', 'material', 'expressions', 'of', 'the', 'human', 'labour', 'spent', 'in', 'their', 'production', 'marks', 'indeed', 'an', 'epoch', 'in', 'the', 'history', 'of', 'the', 'development', 'of', 'the', 'human', 'race', 'but', 'by', 'no', 'means', 'dissipates', 'the', 'mist', 'through', 'which', 'the', 'social', 'character', 'of', 'labour', 'appears', 'to', 'us', 'to', 'be', 'an', 'objective', 'character', 'of', 'the', 'products', 'themselves']"," the recent scientific discovery , that the product of labour , so far as -PRON- be value , be but material expression of the human labour spend in -PRON- production , mark , indeed , an epoch in the history of the development of the human race , but , by no mean , dissipate the mist through which the social character of labour appear to -PRON- to be an objective character of the product -PRON- ."
Capital,Marx,communism,"The fact, that in the particular form of production with which we are dealing, viz., the production of commodities, the specific social character of private labour carried on independently, consists in the equality of every kind of that labour, by virtue of its being human labour, which character, therefore, assumes in the product the form of value this fact appears to the producers, notwithstanding the discovery above referred to, to be just as real and final, as the fact, that, after the discovery by science of the component gases of air, the atmosphere itself remained unaltered.","The fact, that in the particular form of production with which we are dealing, viz., the production of commodities, the specific social character of private labour carried on independently, consists in the equality of every kind of that labour, by virtue of its being human labour, which character, therefore, assumes in the product the form of value this fact appears to the producers, notwithstanding the discovery above referred to, to be just as real and final, as the fact, that, after the discovery by science of the component gases of air, the atmosphere itself remained unaltered.",1883,1887,588,"the fact, that in the particular form of production with which we are dealing, viz., the production of commodities, the specific social character of private labour carried on independently, consists in the equality of every kind of that labour, by virtue of its being human labour, which character, therefore, assumes in the product the form of value this fact appears to the producers, notwithstanding the discovery above referred to, to be just as real and final, as the fact, that, after the discovery by science of the component gases of air, the atmosphere itself remained unaltered.","['the', 'fact', 'that', 'in', 'the', 'particular', 'form', 'of', 'production', 'with', 'which', 'we', 'are', 'dealing', 'viz', 'the', 'production', 'of', 'commodities', 'the', 'specific', 'social', 'character', 'of', 'private', 'labour', 'carried', 'on', 'independently', 'consists', 'in', 'the', 'equality', 'of', 'every', 'kind', 'of', 'that', 'labour', 'by', 'virtue', 'of', 'its', 'being', 'human', 'labour', 'which', 'character', 'therefore', 'assumes', 'in', 'the', 'product', 'the', 'form', 'of', 'value', 'this', 'fact', 'appears', 'to', 'the', 'producers', 'notwithstanding', 'the', 'discovery', 'above', 'referred', 'to', 'to', 'be', 'just', 'as', 'real', 'and', 'final', 'as', 'the', 'fact', 'that', 'after', 'the', 'discovery', 'by', 'science', 'of', 'the', 'component', 'gases', 'of', 'air', 'the', 'atmosphere', 'itself', 'remained', 'unaltered']"," the fact , that in the particular form of production with which -PRON- be deal , viz . , the production of commodity , the specific social character of private labour carry on independently , consist in the equality of every kind of that labour , by virtue of -PRON- be human labour , which character , therefore , assume in the product the form of value this fact appear to the producer , notwithstanding the discovery above refer to , to be just as real and final , as the fact , that , after the discovery by science of the component gas of air , the atmosphere -PRON- remain unaltered ."
Capital,Marx,communism,"It requires a fully developed production of commodities before, from accumulated experience alone, the scientific conviction springs up, that all the different kinds of private labour, which are carried on independently of each other, and yet as spontaneously developed branches of the social division of labour, are continually being reduced to the quantitative proportions in which society requires them.","It requires a fully developed production of commodities before, from accumulated experience alone, the scientific conviction springs up, that all the different kinds of private labour, which are carried on independently of each other, and yet as spontaneously developed branches of the social division of labour, are continually being reduced to the quantitative proportions in which society requires them.",1883,1887,406,"it requires a fully developed production of commodities before, from accumulated experience alone, the scientific conviction springs up, that all the different kinds of private labour, which are carried on independently of each other, and yet as spontaneously developed branches of the social division of labour, are continually being reduced to the quantitative proportions in which society requires them.","['it', 'requires', 'fully', 'developed', 'production', 'of', 'commodities', 'before', 'from', 'accumulated', 'experience', 'alone', 'the', 'scientific', 'conviction', 'springs', 'up', 'that', 'all', 'the', 'different', 'kinds', 'of', 'private', 'labour', 'which', 'are', 'carried', 'on', 'independently', 'of', 'each', 'other', 'and', 'yet', 'as', 'spontaneously', 'developed', 'branches', 'of', 'the', 'social', 'division', 'of', 'labour', 'are', 'continually', 'being', 'reduced', 'to', 'the', 'quantitative', 'proportions', 'in', 'which', 'society', 'requires', 'them']"," -PRON- require a fully develop production of commodity before , from accumulate experience alone , the scientific conviction spring up , that all the different kind of private labour , which be carry on independently of each other , and yet as spontaneously develop branch of the social division of labour , be continually be reduce to the quantitative proportion in which society require -PRON- ."
Capital,Marx,communism,"Man's reflections on the forms of social life, and consequently, also, his scientific analysis of those forms, take a course directly opposite to that of their actual historical development.","Man's reflections on the forms of social life, and consequently, also, his scientific analysis of those forms, take a course directly opposite to that of their actual historical development.",1883,1887,190,"man's reflections on the forms of social life, and consequently, also, his scientific analysis of those forms, take a course directly opposite to that of their actual historical development.","['man', 'reflections', 'on', 'the', 'forms', 'of', 'social', 'life', 'and', 'consequently', 'also', 'his', 'scientific', 'analysis', 'of', 'those', 'forms', 'take', 'course', 'directly', 'opposite', 'to', 'that', 'of', 'their', 'actual', 'historical', 'development']"," man 's reflection on the form of social life , and consequently , also , -PRON- scientific analysis of those form , take a course directly opposite to that of -PRON- actual historical development ."
Capital,Marx,communism,"But, for all that, wisdom of this kind flourishes even now in certain circles under the name of science.","But, for all that, wisdom of this kind flourishes even now in certain circles under the name of science.",1883,1887,104,"but, for all that, wisdom of this kind flourishes even now in certain circles under the name of science.","['but', 'for', 'all', 'that', 'wisdom', 'of', 'this', 'kind', 'flourishes', 'even', 'now', 'in', 'certain', 'circles', 'under', 'the', 'name', 'of', 'science']"," but , for all that , wisdom of this kind flourish even now in certain circle under the name of science ."
Capital,Marx,communism,"Never has any school played more tricks with the word science, than that of Proudhon, for wo Begriffe fehlen, Da stellt zur rechten Zeit ein Wort sich ein.","Never has any school played more tricks with the word science, than that of Proudhon, for wo Begriffe fehlen, Da stellt zur rechten Zeit ein Wort sich ein.",1883,1887,155,"never has any school played more tricks with the word science, than that of proudhon, for wo begriffe fehlen, da stellt zur rechten zeit ein wort sich ein.","['never', 'has', 'any', 'school', 'played', 'more', 'tricks', 'with', 'the', 'word', 'science', 'than', 'that', 'of', 'proudhon', 'for', 'wo', 'begriffe', 'fehlen', 'da', 'stellt', 'zur', 'rechten', 'zeit', 'ein', 'wort', 'sich', 'ein']"," never have any school play more trick with the word science , than that of Proudhon , for wo Begriffe fehlen , Da stellt zur rechten Zeit ein wort sich ein ."
Capital,Marx,communism,"Petty, has investigated the real relations of production in bourgeois society in contradistinction to vulgar economy, which deals with appearances only, ruminates without ceasing on the materials long since provided by scientific economy, and there seeks plausible explanations of the most obtrusive phenomena, for bourgeois daily use, but for the rest, confines itself to systematising in a pedantic way, and proclaiming for everlasting truths, the trite ideas held by the self complacent bourgeoisie with regard to their own world, to them the best of all possible worlds.","Petty, has investigated the real relations of production in bourgeois society in contradistinction to vulgar economy, which deals with appearances only, ruminates without ceasing on the materials long since provided by scientific economy, and there seeks plausible explanations of the most obtrusive phenomena, for bourgeois daily use, but for the rest, confines itself to systematising in a pedantic way, and proclaiming for everlasting truths, the trite ideas held by the self complacent bourgeoisie with regard to their own world, to them the best of all possible worlds.",1883,1887,574,"petty, has investigated the real relations of production in bourgeois society in contradistinction to vulgar economy, which deals with appearances only, ruminates without ceasing on the materials long since provided by scientific economy, and there seeks plausible explanations of the most obtrusive phenomena, for bourgeois daily use, but for the rest, confines itself to systematising in a pedantic way, and proclaiming for everlasting truths, the trite ideas held by the self complacent bourgeoisie with regard to their own world, to them the best of all possible worlds.","['petty', 'has', 'investigated', 'the', 'real', 'relations', 'of', 'production', 'in', 'bourgeois', 'society', 'in', 'contradistinction', 'to', 'vulgar', 'economy', 'which', 'deals', 'with', 'appearances', 'only', 'ruminates', 'without', 'ceasing', 'on', 'the', 'materials', 'long', 'since', 'provided', 'by', 'scientific', 'economy', 'and', 'there', 'seeks', 'plausible', 'explanations', 'of', 'the', 'most', 'obtrusive', 'phenomena', 'for', 'bourgeois', 'daily', 'use', 'but', 'for', 'the', 'rest', 'confines', 'itself', 'to', 'systematising', 'in', 'pedantic', 'way', 'and', 'proclaiming', 'for', 'everlasting', 'truths', 'the', 'trite', 'ideas', 'held', 'by', 'the', 'self', 'complacent', 'bourgeoisie', 'with', 'regard', 'to', 'their', 'own', 'world', 'to', 'them', 'the', 'best', 'of', 'all', 'possible', 'worlds']"," Petty , have investigate the real relation of production in bourgeois society in contradistinction to vulgar economy , which deal with appearance only , ruminate without cease on the material long since provide by scientific economy , and there seek plausible explanation of the most obtrusive phenomenon , for bourgeois daily use , but for the rest , confine -PRON- to systematise in a pedantic way , and proclaim for everlasting truth , the trite idea hold by the self complacent bourgeoisie with regard to -PRON- own world , to -PRON- the good of all possible world ."
Capital,Marx,communism,"Objects that in themselves are no commodities, such as conscience, honour, andc.","Objects that in themselves are no commodities, such as conscience, honour, andc.",1883,1887,80,"objects that in themselves are no commodities, such as conscience, honour, andc.","['objects', 'that', 'in', 'themselves', 'are', 'no', 'commodities', 'such', 'as', 'conscience', 'honour', 'andc']"," object that in -PRON- be no commodity , such as conscience , honour , andc ."
Capital,Marx,communism,In no science is such a big fuss made with commonplace truisms as in Political Economy.,In no science is such a big fuss made with commonplace truisms as in Political Economy.,1883,1887,87,in no science is such a big fuss made with commonplace truisms as in political economy.,"['in', 'no', 'science', 'is', 'such', 'big', 'fuss', 'made', 'with', 'commonplace', 'truisms', 'as', 'in', 'political', 'economy']", in no science be such a big fuss make with commonplace truism as in political Economy .
