title,author,school,sentence_spacy,sentence_str,original_publication_date,corpus_edition_date,sentence_length,sentence_lowered,tokenized_txt,lemmatized_str
On The Improvement Of Understanding,Spinoza,rationalism,"We must seek the assistance of Moral Philosophy and the Theory of Education; further, as health is no insignificant means for attaining our end, we must also include the whole science of Medicine, and, as many difficult things are by contrivance rendered easy, and we can in this way gain much time and convenience, the science of Mechanics must in no way be despised.","We must seek the assistance of Moral Philosophy and the Theory of Education; further, as health is no insignificant means for attaining our end, we must also include the whole science of Medicine, and, as many difficult things are by contrivance rendered easy, and we can in this way gain much time and convenience, the science of Mechanics must in no way be despised.",1677,1997,368,"we must seek the assistance of moral philosophy and the theory of education; further, as health is no insignificant means for attaining our end, we must also include the whole science of medicine, and, as many difficult things are by contrivance rendered easy, and we can in this way gain much time and convenience, the science of mechanics must in no way be despised.","['we', 'must', 'seek', 'the', 'assistance', 'of', 'moral', 'philosophy', 'and', 'the', 'theory', 'of', 'education', 'further', 'as', 'health', 'is', 'no', 'insignificant', 'means', 'for', 'attaining', 'our', 'end', 'we', 'must', 'also', 'include', 'the', 'whole', 'science', 'of', 'medicine', 'and', 'as', 'many', 'difficult', 'things', 'are', 'by', 'contrivance', 'rendered', 'easy', 'and', 'we', 'can', 'in', 'this', 'way', 'gain', 'much', 'time', 'and', 'convenience', 'the', 'science', 'of', 'mechanics', 'must', 'in', 'no', 'way', 'be', 'despised']"," -PRON- must seek the assistance of Moral Philosophy and the Theory of Education ; further , as health be no insignificant mean for attain -PRON- end , -PRON- must also include the whole science of Medicine , and , as many difficult thing be by contrivance render easy , and -PRON- can in this way gain much time and convenience , the science of mechanic must in no way be despise ."
On The Improvement Of Understanding,Spinoza,rationalism,"Thus it is apparent to everyone that I wish to direct all science to one end and aim, so that we may attain to the supreme human perfection which we have named; and, therefore, whatsoever in the sciences does not serve to promote our object","Thus it is apparent to everyone that I wish to direct all science to one end and aim, so that we may attain to the supreme human perfection which we have named; and, therefore, whatsoever in the sciences does not serve to promote our object",1677,1997,240,"thus it is apparent to everyone that i wish to direct all science to one end and aim, so that we may attain to the supreme human perfection which we have named; and, therefore, whatsoever in the sciences does not serve to promote our object","['thus', 'it', 'is', 'apparent', 'to', 'everyone', 'that', 'wish', 'to', 'direct', 'all', 'science', 'to', 'one', 'end', 'and', 'aim', 'so', 'that', 'we', 'may', 'attain', 'to', 'the', 'supreme', 'human', 'perfection', 'which', 'we', 'have', 'named', 'and', 'therefore', 'whatsoever', 'in', 'the', 'sciences', 'does', 'not', 'serve', 'to', 'promote', 'our', 'object']"," thus -PRON- be apparent to everyone that -PRON- wish to direct all science to one end and aim , so that -PRON- may attain to the supreme human perfection which -PRON- have name ; and , therefore , whatsoever in the science do not serve to promote -PRON- object"
On The Improvement Of Understanding,Spinoza,rationalism,"We may, therefore clearly conclude that the certainty arising from hearsay cannot be scientific in its character.","We may, therefore clearly conclude that the certainty arising from hearsay cannot be scientific in its character.",1677,1997,113,"we may, therefore clearly conclude that the certainty arising from hearsay cannot be scientific in its character.","['we', 'may', 'therefore', 'clearly', 'conclude', 'that', 'the', 'certainty', 'arising', 'from', 'hearsay', 'cannot', 'be', 'scientific', 'in', 'its', 'character']"," -PRON- may , therefore clearly conclude that the certainty arise from hearsay can not be scientific in -PRON- character ."
On The Improvement Of Understanding,Spinoza,rationalism,"Lastly, with such persons, one should not speak of sciences: for, in what relates to life and conduct, they are compelled by necessity to suppose that they exist, and seek their own advantage, and often affirm and deny, even with an oath.","Lastly, with such persons, one should not speak of sciences: for, in what relates to life and conduct, they are compelled by necessity to suppose that they exist, and seek their own advantage, and often affirm and deny, even with an oath.",1677,1997,238,"lastly, with such persons, one should not speak of sciences: for, in what relates to life and conduct, they are compelled by necessity to suppose that they exist, and seek their own advantage, and often affirm and deny, even with an oath.","['lastly', 'with', 'such', 'persons', 'one', 'should', 'not', 'speak', 'of', 'sciences', 'for', 'in', 'what', 'relates', 'to', 'life', 'and', 'conduct', 'they', 'are', 'compelled', 'by', 'necessity', 'to', 'suppose', 'that', 'they', 'exist', 'and', 'seek', 'their', 'own', 'advantage', 'and', 'often', 'affirm', 'and', 'deny', 'even', 'with', 'an', 'oath']"," lastly , with such person , one should not speak of science : for , in what relate to life and conduct , -PRON- be compel by necessity to suppose that -PRON- exist , and seek -PRON- own advantage , and often affirm and deny , even with an oath ."
On The Improvement Of Understanding,Spinoza,rationalism,"a This might be explained more at large and more clearly: I mean by distinguishing riches according as they are pursued for their own sake, in or furtherance of fame, or sensual pleasure, or the advancement of science and art.","a This might be explained more at large and more clearly: I mean by distinguishing riches according as they are pursued for their own sake, in or furtherance of fame, or sensual pleasure, or the advancement of science and art.",1677,1997,226,"a this might be explained more at large and more clearly: i mean by distinguishing riches according as they are pursued for their own sake, in or furtherance of fame, or sensual pleasure, or the advancement of science and art.","['this', 'might', 'be', 'explained', 'more', 'at', 'large', 'and', 'more', 'clearly', 'mean', 'by', 'distinguishing', 'riches', 'according', 'as', 'they', 'are', 'pursued', 'for', 'their', 'own', 'sake', 'in', 'or', 'furtherance', 'of', 'fame', 'or', 'sensual', 'pleasure', 'or', 'the', 'advancement', 'of', 'science', 'and', 'art']"," a this may be explain more at large and more clearly : -PRON- mean by distinguish rich accord as -PRON- be pursue for -PRON- own sake , in or furtherance of fame , or sensual pleasure , or the advancement of science and art ."
On The Improvement Of Understanding,Spinoza,rationalism,I do no more here than enumerate the sciences necessary for our purpose; I lay no stress on their order.,I do no more here than enumerate the sciences necessary for our purpose; I lay no stress on their order.,1677,1997,104,i do no more here than enumerate the sciences necessary for our purpose; i lay no stress on their order.,"['do', 'no', 'more', 'here', 'than', 'enumerate', 'the', 'sciences', 'necessary', 'for', 'our', 'purpose', 'lay', 'no', 'stress', 'on', 'their', 'order']", -PRON- do no more here than enumerate the science necessary for -PRON- purpose ; -PRON- lay no stress on -PRON- order .
On The Improvement Of Understanding,Spinoza,rationalism,"There is for the sciences but one end, to which they should all be directed.","There is for the sciences but one end, to which they should all be directed.",1677,1997,76,"there is for the sciences but one end, to which they should all be directed.","['there', 'is', 'for', 'the', 'sciences', 'but', 'one', 'end', 'to', 'which', 'they', 'should', 'all', 'be', 'directed']"," there be for the science but one end , to which -PRON- should all be direct ."
Theodicy,Leibniz,rationalism,"St. Augustine, Boethius and Cassiodorus in the West, and St. John of Damascus in the East contributed most towards reducing theology to scientific form, not to mention Bede, Alcuin, St. Anselm and some other theologians versed in philosophy.","St. Augustine, Boethius and Cassiodorus in the West, and St. John of Damascus in the East contributed most towards reducing theology to scientific form, not to mention Bede, Alcuin, St. Anselm and some other theologians versed in philosophy.",1710,2005,241,"st. augustine, boethius and cassiodorus in the west, and st. john of damascus in the east contributed most towards reducing theology to scientific form, not to mention bede, alcuin, st. anselm and some other theologians versed in philosophy.","['st', 'augustine', 'boethius', 'and', 'cassiodorus', 'in', 'the', 'west', 'and', 'st', 'john', 'of', 'damascus', 'in', 'the', 'east', 'contributed', 'most', 'towards', 'reducing', 'theology', 'to', 'scientific', 'form', 'not', 'to', 'mention', 'bede', 'alcuin', 'st', 'anselm', 'and', 'some', 'other', 'theologians', 'versed', 'in', 'philosophy']"," St. Augustine , Boethius and Cassiodorus in the West , and St. John of Damascus in the East contribute most towards reduce theology to scientific form , not to mention Bede , Alcuin , St. Anselm and some other theologian verse in philosophy ."
Theodicy,Leibniz,rationalism,"For sundry dogmas, such as those of physical predetermination, of mediate knowledge, philosophical sin, objective precisions, and many other dogmas in speculative theology and even in the practical theology of cases of conscience, came into currency even after the Council of Trent.","For sundry dogmas, such as those of physical predetermination, of mediate knowledge, philosophical sin, objective precisions, and many other dogmas in speculative theology and even in the practical theology of cases of conscience, came into currency even after the Council of Trent.",1710,2005,282,"for sundry dogmas, such as those of physical predetermination, of mediate knowledge, philosophical sin, objective precisions, and many other dogmas in speculative theology and even in the practical theology of cases of conscience, came into currency even after the council of trent.","['for', 'sundry', 'dogmas', 'such', 'as', 'those', 'of', 'physical', 'predetermination', 'of', 'mediate', 'knowledge', 'philosophical', 'sin', 'objective', 'precisions', 'and', 'many', 'other', 'dogmas', 'in', 'speculative', 'theology', 'and', 'even', 'in', 'the', 'practical', 'theology', 'of', 'cases', 'of', 'conscience', 'came', 'into', 'currency', 'even', 'after', 'the', 'council', 'of', 'trent']"," for sundry dogma , such as those of physical predetermination , of mediate knowledge , philosophical sin , objective precision , and many other dogma in speculative theology and even in the practical theology of case of conscience , come into currency even after the Council of Trent ."
Theodicy,Leibniz,rationalism,"He exhorts the faithful 'to beware of philosophy' (Col. and to avoid disputations in that science, which had caused many persons to lose faith.","He exhorts the faithful 'to beware of philosophy' (Col. and to avoid disputations in that science, which had caused many persons to lose faith.",1710,2005,143,"he exhorts the faithful 'to beware of philosophy' (col. and to avoid disputations in that science, which had caused many persons to lose faith.","['he', 'exhorts', 'the', 'faithful', 'to', 'beware', 'of', 'philosophy', 'col', 'and', 'to', 'avoid', 'disputations', 'in', 'that', 'science', 'which', 'had', 'caused', 'many', 'persons', 'to', 'lose', 'faith']"," -PRON- exhort the faithful ' to beware of philosophy ' ( Col . and to avoid disputation in that science , which have cause many person to lose faith ."
